Año,Trimestre,Provincia,Mbps (Media de bajada)
2017,3,San Juan,3450.0
2017,3,San Luis,3500.0
2017,3,Santa Cruz,3610.0
2017,3,Santa Fe,7790.0
2017,3,Santiago Del Estero,5180.0
2017,3,Tierra Del Fuego,3480.0
2017,3,Tucumán,6390.0
2017,2,Buenos Aires,7200.0
2017,2,Capital Federal,8840.0
2017,2,Catamarca,5100.0
2017,2,Chaco,7690.0
2017,2,Chubut,3450.0
2017,2,Córdoba,7420.0
2017,2,Corrientes,6790.0
2017,2,Entre Ríos,6290.0
2017,2,Formosa,6180.0
2017,2,Jujuy,4540.0
2017,2,La Pampa,3320.0
2017,2,La Rioja,5530.0
2017,2,Mendoza,3510.0
2017,2,Misiones,7600.0
2017,2,Neuquén,6700.0
2017,2,Río Negro,4740.0
2017,2,Salta,5760.0
2017,2,San Juan,3490.0
2017,2,San Luis,3500.0
2017,2,Santa Cruz,3600.0
2017,2,Santa Fe,6840.0
2017,2,Santiago Del Estero,5060.0
2017,2,Tierra Del Fuego,3480.0
2017,2,Tucumán,6090.0
2017,1,Buenos Aires,6680.0
2017,1,Capital Federal,8350.0
2017,1,Catamarca,4970.0
2017,1,Chaco,7310.0
2017,1,Chubut,3440.0
2017,1,Córdoba,6800.0
2017,1,Corrientes,6430.0
2017,1,Entre Ríos,5950.0
2017,1,Formosa,5740.0
2017,1,Jujuy,4390.0
2017,1,La Pampa,3220.0
2017,1,La Rioja,5430.0
2017,1,Mendoza,3510.0
2017,1,Misiones,7340.0
2017,1,Neuquén,6030.0
2017,1,Río Negro,4450.0
2017,1,Salta,5340.0
2017,1,San Juan,3490.0
2017,1,San Luis,3500.0
2017,1,Santa Cruz,3590.0
2017,1,Santa Fe,6280.0
2017,1,Santiago Del Estero,4950.0
2017,1,Tierra Del Fuego,3480.0
2017,1,Tucumán,5880.0
2016,4,Buenos Aires,6350.0
2016,4,Capital Federal,7960.0
2016,4,Catamarca,4890.0
2016,4,Chaco,7080.0
2016,4,Chubut,3410.0
2016,4,Córdoba,6470.0
2016,4,Corrientes,6240.0
2016,4,Entre Ríos,5810.0
2016,4,Formosa,5630.0
2016,4,Jujuy,4320.0
2016,4,La Pampa,3190.0
2016,4,La Rioja,5340.0
2016,4,Mendoza,3510.0
2016,4,Misiones,7110.0
2016,4,Neuquén,5680.0
2016,4,Río Negro,4370.0
2016,4,Salta,5220.0
2016,4,San Juan,3490.0
2016,4,San Luis,3500.0
2016,4,Santa Cruz,3560.0
2016,4,Santa Fe,6040.0
2016,4,Santiago Del Estero,4870.0
2016,4,Tierra Del Fuego,3480.0
2016,4,Tucumán,5730.0
2016,3,Buenos Aires,5910.0
2016,3,Capital Federal,7380.0
2016,3,Catamarca,4730.0
2016,3,Chaco,6720.0
2016,3,Chubut,3340.0
2016,3,Córdoba,6070.0
2016,3,Corrientes,5960.0
2016,3,Entre Ríos,5590.0
2016,3,Formosa,5420.0
2016,3,Jujuy,4220.0
2016,3,La Pampa,3140.0
2016,3,La Rioja,5080.0
2016,3,Mendoza,3510.0
2016,3,Misiones,6740.0
2016,3,Neuquén,5290.0
2016,3,Río Negro,4160.0
2016,3,Salta,5050.0
2016,3,San Juan,3490.0
2016,3,San Luis,3500.0
2016,3,Santa Cruz,3540.0
2016,3,Santa Fe,5680.0
