Año,Trimestre,Provincia,Otros,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 20 Mbps y 30 Mbps,Entre 30 Mbps y 50 Mbps,Entre 50 Mbps y 100 Mbps,Entre 100 Mbps y 200 Mbps,Entre 200 Mbps y 500 Mbps,Más de 500 Mbps
2021.0,1.0,Santa Cruz,0.0,50.0,6688.0,2661.0,19361.0,1337.0,522.0,111.0,0.0,14.0,0.0
2021.0,1.0,Santa Fe,24382.0,518.0,14455.0,9161.0,178907.0,65484.0,171308.0,59489.0,531.0,5549.0,39.0
2021.0,1.0,Santiago Del Estero,4144.0,123.0,1823.0,4878.0,28092.0,700.0,2982.0,1803.0,0.0,81.0,2.0
2021.0,1.0,Tierra Del Fuego,11836.0,17.0,94.0,5.0,21280.0,486.0,892.0,25.0,1.0,0.0,1.0
2021.0,1.0,Tucumán,2680.0,29.0,3157.0,141.0,39609.0,4188.0,67893.0,33614.0,0.0,1929.0,1.0
2020.0,4.0,Buenos Aires,9016.0,36939.0,58229.0,24135.0,1058698.0,213622.0,1221771.0,830829.0,14088.0,102497.0,7023.0
2020.0,4.0,Capital Federal,268.0,135.0,5193.0,337.0,154924.0,80275.0,573377.0,342491.0,14136.0,66773.0,3290.0
2020.0,4.0,Catamarca,2309.0,71.0,635.0,278.0,7930.0,591.0,12502.0,7338.0,0.0,564.0,2.0
2020.0,4.0,Chaco,7965.0,301.0,2455.0,1150.0,21289.0,15701.0,28481.0,10604.0,0.0,1856.0,8.0
2020.0,4.0,Chubut,4402.0,106.0,884.0,5175.0,82207.0,2818.0,1002.0,109.0,1.0,0.0,0.0
